 ,File1,File2,File3,File4,File5,File6,File7,File8
file1,1,0.690489,0.273458,0.277048,0.491872,0.501711,0.263278,0.263278,
file2,0.690489,1,0.287714,0.291492,0.508723,0.518898,0.282975,0.282975,
file3,0.273458,0.287714,1,0.98704,0.504207,0.498164,0.874582,0.874582,
file4,0.277048,0.291492,0.98704,1,0.510828,0.504705,0.87476,0.87476,
file5,0.491872,0.508723,0.504207,0.510828,1,0.98039,0.442826,0.442826,
file6,0.501711,0.518898,0.498164,0.504705,0.98039,1,0.437705,0.437705,
file7,0.263278,0.282975,0.874582,0.87476,0.442826,0.437705,1,1,
file8,0.263278,0.282975,0.874582,0.87476,0.442826,0.437705,1,1,
